stab,state,share_cut1994,share_cut1995,share_cut1996,share_cut1997,share_cut1998,share_cut1999,share_cut2000,share_cut2001,share_cut2002,share_cut2003,share_cut2004,share_cut2005,share_cut2006,share_cut2007,share_cut2008,share_cut2009,share_cut2010,share_cut2011,share_cut2012,share_cut2013,avgshare
NC,North Carolina,1.4,0.9,3,4.1,3,3.9,1.5,3.8,6.1,6.7,3.6,4.1,3.2,4.3,3.4,3.5,4.1,1.3,0.9,1,3.56
AL,Alabama,1.1,2.4,5.2,4.6,3.5,5.6,2.5,2.8,6.5,2.2,2.1,1.2,3.3,2.6,3.9,4.3,3.6,0.4,0.7,0.6,3.22
MS,Mississippi,2,3.9,5.1,2.2,3.4,6.7,3.1,3.6,5.4,4.3,1.5,1.5,2,2.5,3.7,3.7,0.6,0.1,0.5,0.3,2.94
AR,Arkansas,1.6,1.3,1.6,2.7,2.7,2.8,0.6,3.1,3.9,3.6,1.1,2.3,3.8,4.9,3.2,3,3.3,2.4,3.9,0.5,2.89
TN,Tennessee,1.6,2,3.4,3.5,3.3,2.5,2.2,3.1,3.6,3.3,1.2,2.7,2.1,3.5,3,3.4,3.7,3.2,0.9,1.1,2.86
SC,South Carolina,1.5,1,2.5,0.7,2.7,1.2,1.6,4.1,4.5,3.9,3.1,3.9,3.4,2.2,2.8,3.9,1.8,1,1.2,0.9,2.61
ME,Maine,2.3,1.9,3.5,1.7,5,1.5,2.2,3.3,5,4.7,1.7,1.2,1.3,1.1,3.1,3.1,2.4,2.3,0.7,1.5,2.58
MI,Michigan,0.3,0.4,1.1,0.9,0.5,0.6,1.8,0.8,2.1,3.2,1.5,1.4,2.5,3.9,4.3,7.8,9.3,1.2,0.5,0.9,2.55
OR,Oregon,0.4,0.7,1.3,0.8,1.9,1,3.7,1.5,6,2.5,3.6,1,0.8,1.1,2.2,7,3.5,1.1,1.3,1.5,2.38
KY,Kentucky,2.5,1,3.1,1.8,1.5,2.6,1.8,2.4,2.9,2.4,1.6,2.1,1.5,2.4,2.2,3.9,3.2,1.5,1.1,0.6,2.24
IN,Indiana,0.4,0.7,1.1,1.5,1.2,1.2,0.7,1.3,4.1,2.4,1.9,2.3,2.1,2,3.5,3.1,4.3,1.6,0.9,0.7,2.07
AK,Alaska,3.4,0.5,1.3,2.6,1.3,8.3,0.2,0,1.2,13.2,1,2.1,0,0.6,0,0,0,0,0,0.4,1.88
PA,Pennsylvania,1.5,1.4,2,1.7,1.5,1.3,1.4,3.6,2.8,2.8,1.2,1.5,0.9,1.6,1,2.6,2.5,0.9,1.1,0.8,1.79
WI,Wisconsin,0.8,0.9,1.6,0.6,0.5,1.9,0.9,1.9,2.7,3,1.3,1.1,1.4,1.3,2.1,3,3.6,1.5,1.2,0.4,1.73
OH,Ohio,0.6,0.8,0.6,1,0.5,1,0.9,1.3,2.5,1.9,1.4,0.9,2.9,2,2.2,5,2.8,1,1.3,0.4,1.72
WA,Washington,1,1.2,0.5,0.4,1,0.7,2.5,1.4,9.4,1.3,3.4,0.6,0.4,0.6,0.7,2.2,1.6,1.1,1,0.7,1.69
RI,Rhode Island,1.1,2.4,2.1,2.4,1.2,2.6,1.4,0.9,1.3,1.6,0.8,2.2,2.4,1.3,3,2,1.6,1.1,0.1,0.2,1.64
GA,Georgia,1.3,1.7,2.5,1.8,2.1,2.1,0.8,2.2,2.1,1.6,1.5,1.6,1.6,0.8,1.4,1.3,1,0.6,0.5,0.4,1.51
ID,Idaho,0.8,1.5,1.8,2.4,1.1,0.5,0.5,2.1,4.2,3.7,0.4,1.1,0.2,1.7,0.8,2.7,1.1,0.6,0.8,0.3,1.51
WV,West Virginia,1.1,1.6,1.5,0.8,0.7,2.2,0.7,0.5,2.6,1.5,1.6,0.8,2,0.6,0.7,4.1,2.3,0.7,1.4,0.2,1.45
VA,Virginia,0.7,0.8,0.5,1,1.9,0.9,1,2.1,2.9,2.3,1.3,0.8,1.2,0.9,1.4,2.1,1.6,0.9,0.4,0.3,1.38
OK,Oklahoma,2.8,1.4,0.8,0.4,0.6,1.5,0.7,1,4.4,2.3,1.3,0.6,3.4,0.8,1.4,0.9,0.7,0.6,0.7,1.2,1.3
KS,Kansas,0.8,0.5,0.7,0.4,0.2,1.3,2.2,0.1,4.7,0.5,3.6,0.2,0.6,0.1,0.4,0.3,1.2,4.3,0.6,0.9,1.27
NM,New Mexico,1.4,0.8,0.9,3,1.4,4.5,0.4,0.3,1.7,0.5,0.1,0.1,0.1,0,4.1,1.7,1.9,0.1,0.8,0,1.26
MO,Missouri,1,1.6,0.7,1.1,0.3,1.7,1,1.7,1.3,1.6,1,1,1.6,0.8,1.8,1.7,2.5,0.9,0.5,0.9,1.25
NH,New Hampshire,0.4,0.2,0.3,0,1.5,1.6,0.7,2.7,2,1.2,1.1,2.6,1.6,1,0.6,1,1.6,0.5,1,0.2,1.25
VT,Vermont,1.3,0.4,0,0.4,0,0.2,0.1,1.3,2.7,2.8,1.4,1.7,1.7,1.3,0.5,3.5,1.1,0.3,0.2,0.9,1.14
MA,Massachusetts,0.8,1.4,0.3,0.7,0.9,1.4,0.9,0.7,1.1,2.1,1.1,0.9,0.8,1,1,2.5,0.8,0.7,1.4,1.2,1.07
IL,Illinois,0.5,0.9,0.3,0.5,0.6,0.5,0.5,1.5,2.2,1.9,1.4,1.1,0.7,0.6,0.7,2.6,1.8,0.4,0.4,0.7,1.06
TX,Texas,0.9,0.9,0.9,1.4,0.8,2.9,0.5,0.8,2.5,1.3,0.7,0.6,0.3,0.7,0.6,1.1,1.2,0.5,1.1,0.5,1.05
MN,Minnesota,0.7,0.1,0.5,0.4,0.4,0.4,0.2,1.7,2,2,0.4,0.9,0.3,0.9,0.8,2.3,1.5,0.8,1.1,0.7,0.99
CT,Connecticut,0.3,0.3,0.2,1,0.6,0.8,0.3,1,1,0.9,1.3,0.6,0.7,1.4,1.1,1.4,1.9,1.4,1,0.4,0.97
MT,Montana,4.8,1.6,1.1,1.6,1.8,0.9,0.8,0.7,1.2,2,0,0.9,0,0.8,0.6,1.8,1.3,0,0,0.7,0.91
IA,Iowa,0.1,0.4,0.5,0.6,0.1,0.5,0.1,0.6,0.9,0.9,1,0.6,2.4,0.9,0.8,2.3,1.4,1.4,0.2,1.1,0.89
SD,South Dakota,0,0,0,0.3,0,0.3,0.5,0.5,0.5,4.5,0.2,1.2,0,0,3.5,2.8,0,0,0.3,0,0.86
LA,Louisiana,1.1,0.4,0.6,2.9,0.4,2,0.1,1.4,0.6,0.5,0.1,0.2,0.1,0.5,1.1,1,0.8,0.4,1.7,0.4,0.85
NJ,New Jersey,1.2,1.9,1.3,0.9,0.9,1.3,0.7,0.7,0.9,1.7,0.7,0.6,0.4,0.7,0.5,1.3,0.9,0.5,0.4,0.3,0.85
AZ,Arizona,0.4,0.1,0.3,0.1,0.4,2.7,0.1,0.3,0.8,1.1,0.9,0.4,0.6,0.5,0.8,2.6,1.8,0.2,0.2,0.2,0.83
WY,Wyoming,3.9,0.8,3.5,0.1,4.7,3.6,0.4,0,0.6,0.7,0.1,0,0,0,0,0.2,0,0,0,0.2,0.82
NY,New York,1.4,1.2,0.8,0.7,1,0.9,0.5,0.6,1,1.3,0.6,0.7,0.5,0.7,0.9,0.8,1.1,1.2,0.5,0.5,0.82
UT,Utah,0.5,1.3,0.9,0.9,1.2,0.4,0.1,1.2,0.4,0.8,0.5,0.4,0.1,0.7,0.8,1.3,2,0.2,0.4,0.5,0.74
CO,Colorado,0.9,1.1,0.8,0.1,0.4,1.7,1.1,0.3,0.4,1.1,0.4,0.8,1.2,0.4,0.8,0.8,1.1,0.4,0.7,0.2,0.74
CA,California,0.3,0.3,0.6,0.4,0.3,0.7,0.6,0.4,1.1,1,0.6,0.8,0.8,0.6,0.7,1.1,1.2,0.7,0.5,0.4,0.72
NE,Nebraska,0,0.2,0.7,0.1,0.1,0.2,1,0,0.6,2,1.2,0.2,0.2,0.9,0.3,1.3,0.3,1.1,0.1,0.5,0.62
ND,North Dakota,2.4,0.4,0.8,0.1,2.6,1.8,0,0,0.1,0.6,0,0.1,0.3,0,0.6,1.6,1.6,0,0,0.9,0.6
DE,Delaware,0.6,0,0,0,0,0.4,0,0,0,1,0.9,0.7,0.4,0.1,0,5.4,0,0,0,0.1,0.53
MD,Maryland,0.4,1.1,0.7,0.4,0.5,0.4,0.3,0.1,0.3,1.1,0.1,0.5,0.7,0.8,0.5,0.2,0.6,0.8,0.3,0.1,0.47
FL,Florida,0.3,0.2,0.3,0.1,0.3,0.4,0.2,0.4,0.6,0.3,0.2,0.3,0.1,0.1,0.2,0.5,0.5,0.1,0.7,0.4,0.3
NV,Nevada,0,0.5,0,0,0.1,1.9,0,0.3,0.3,0.2,0.1,0.3,0.1,0,0.1,0.1,0,0.6,0.3,0.3,0.26
HI,Hawaii,0.7,0,0,0,0,0,0,0,0,0.2,0,0.3,0,0.5,0.1,0,0,0,0,0.5,0.06
DC,District of Columbia,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.01
